idTipoEstablecimiento;anio;trimestre;idPoblacion;genero;de1a4;de5a9;de10a14;de15a19;de20a24;de25a29;de30a34;de35a39;de40a44;de45a49;de50a54;de55a59;de60a64;de65oMas
13;2015;1;2;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;2015;1;3;T;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23;2015;1;4;T;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
31;2015;2;1;T;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;2015;2;2;T;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
20;2015;2;3;T;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
28;2015;2;4;T;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13;2015;3;1;T;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;2015;3;2;T;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
29;2015;3;3;T;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21;2015;3;4;T;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10;2015;4;1;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;2015;4;2;T;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13;2015;4;3;T;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
22;2015;4;4;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2016;1;1;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;2016;1;2;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2016;1;4;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;2016;2;1;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;2016;3;1;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;2016;4;1;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
